               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095949,            0.023182,            0.037961,             0.67174,              0.0593,            0.030996,           0.0074169,            0.074289,            0.012524,            0.022183,            0.070405,           0.0032883,           0.0032883
                   1,            0.067131,            0.019229,            0.023784,             0.71993,             0.21761,             0.15083,            0.051271,            0.069063,           0.0087882,            0.016765,            0.040242,           0.0064577,           0.0064577
                   2,            0.063126,            0.016913,            0.019141,             0.72925,             0.24851,             0.28622,             0.11561,            0.057404,           0.0085283,            0.015247,           0.0099126,           0.0094622,           0.0094622
                   3,            0.057312,            0.015655,            0.015049,             0.58164,             0.36973,             0.32649,             0.16571,            0.048942,           0.0078901,            0.012521,           0.0092575,           0.0092575,           0.0092575
                   4,            0.052492,            0.014404,            0.013094,              0.6032,             0.41219,             0.38289,              0.1783,            0.044145,           0.0068783,            0.010726,           0.0092575,           0.0092575,           0.0092575
                   5,            0.049257,            0.014026,            0.012916,             0.64469,             0.38342,             0.39159,             0.19134,            0.042414,           0.0064324,            0.010924,             0.00901,             0.00901,             0.00901
                   6,             0.04625,            0.013195,            0.011004,             0.68544,             0.40041,               0.513,             0.25832,            0.040066,           0.0070166,            0.011972,           0.0087625,           0.0087625,           0.0087625
                   7,             0.04434,            0.012502,            0.010861,             0.71477,             0.42006,             0.47958,             0.23518,            0.042677,           0.0064054,            0.010742,            0.008515,            0.008515,            0.008515
                   8,             0.04264,            0.012549,            0.010806,             0.80205,             0.39498,             0.54573,             0.26527,            0.041088,           0.0063045,            0.011467,           0.0082675,           0.0082675,           0.0082675
                   9,            0.041713,            0.012892,            0.010353,             0.85278,              0.3948,             0.57935,             0.32506,            0.037463,           0.0061552,            0.012459,             0.00802,             0.00802,             0.00802
                  10,            0.040273,            0.011965,           0.0093445,             0.81977,              0.3937,             0.56731,             0.28173,            0.036351,           0.0059865,            0.010919,           0.0077725,           0.0077725,           0.0077725
                  11,             0.04014,            0.011942,           0.0088977,             0.82901,             0.40063,             0.49733,             0.26398,            0.036351,           0.0059788,           0.0090074,            0.007525,            0.007525,            0.007525
                  12,            0.038122,            0.011557,            0.008236,             0.79425,             0.40111,             0.50999,             0.29093,            0.035145,           0.0059211,           0.0084498,           0.0072775,           0.0072775,           0.0072775
                  13,            0.038263,            0.011501,           0.0085001,             0.86364,             0.42533,              0.5946,             0.30739,            0.034418,           0.0056999,           0.0090191,             0.00703,             0.00703,             0.00703
                  14,            0.036624,            0.011387,           0.0077061,             0.79464,             0.44955,             0.59989,              0.3139,            0.033406,           0.0054739,           0.0077712,           0.0067825,           0.0067825,           0.0067825
                  15,             0.03708,            0.011165,           0.0077215,             0.85285,             0.48911,             0.61192,             0.33866,             0.03095,           0.0052071,           0.0063434,            0.006535,            0.006535,            0.006535
                  16,            0.035018,            0.011388,           0.0067757,             0.87135,             0.53661,             0.69184,             0.43087,            0.030745,           0.0050413,           0.0065893,           0.0062875,           0.0062875,           0.0062875
                  17,            0.034467,            0.010888,           0.0063622,             0.78591,             0.60429,             0.67213,             0.38743,             0.03213,           0.0054016,           0.0067211,             0.00604,             0.00604,             0.00604
                  18,            0.033885,            0.010916,           0.0064207,             0.70222,             0.64419,             0.68662,             0.39343,            0.029755,           0.0053987,           0.0081837,           0.0057925,           0.0057925,           0.0057925
                  19,            0.033196,            0.010096,           0.0062106,             0.75498,             0.56629,             0.67634,              0.4428,            0.029326,           0.0051491,           0.0075293,            0.005545,            0.005545,            0.005545
                  20,            0.032193,            0.010217,           0.0051632,              0.8829,             0.57892,             0.70348,             0.44322,            0.030456,           0.0050717,           0.0069601,           0.0052975,           0.0052975,           0.0052975
