               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  21,            0.031891,           0.0099024,           0.0053659,             0.73451,              0.6872,             0.74079,             0.42997,            0.030446,           0.0051094,           0.0074811,             0.00505,             0.00505,             0.00505
                  22,            0.032138,           0.0099328,           0.0051931,             0.84475,             0.60358,             0.71389,             0.46949,            0.028818,           0.0049794,           0.0060721,           0.0048025,           0.0048025,           0.0048025
                  23,            0.031224,           0.0097142,           0.0053049,             0.80505,             0.68706,             0.72888,             0.47572,            0.029074,           0.0048757,            0.005987,            0.004555,            0.004555,            0.004555
                  24,            0.030343,           0.0097445,           0.0046934,             0.85988,             0.65987,             0.71869,             0.47197,            0.027333,           0.0049612,           0.0060884,           0.0043075,           0.0043075,           0.0043075
                  25,            0.029897,           0.0095677,           0.0046344,             0.88468,             0.72413,             0.78797,             0.56403,            0.026945,           0.0049351,           0.0061676,             0.00406,             0.00406,             0.00406
                  26,            0.028425,            0.009331,           0.0043976,             0.69045,             0.66198,             0.72556,             0.46038,            0.028183,            0.005002,           0.0061348,           0.0038125,           0.0038125,           0.0038125
                  27,            0.028344,             0.00946,           0.0041909,             0.66516,             0.73555,             0.72502,             0.48166,            0.026592,           0.0047274,           0.0064011,            0.003565,            0.003565,            0.003565
                  28,             0.02716,           0.0091648,           0.0038747,             0.69438,             0.72553,             0.73536,             0.48339,            0.027042,           0.0047815,           0.0056232,           0.0033175,           0.0033175,           0.0033175
                  29,            0.027517,           0.0091174,           0.0042582,              0.8673,             0.72021,             0.75728,             0.50898,             0.02593,           0.0047018,           0.0053044,             0.00307,             0.00307,             0.00307
                  30,             0.02723,            0.008951,           0.0030012,             0.75877,             0.66363,             0.78518,             0.54558,             0.02697,           0.0045903,           0.0051834,           0.0028225,           0.0028225,           0.0028225
                  31,            0.025791,           0.0088668,            0.003415,             0.93342,             0.72169,             0.78137,             0.53496,            0.025344,           0.0045099,           0.0059223,            0.002575,            0.002575,            0.002575
                  32,            0.025519,           0.0087788,            0.003361,              0.7493,             0.72681,             0.79057,             0.57388,             0.02489,           0.0045686,           0.0052463,           0.0023275,           0.0023275,           0.0023275
                  33,            0.025509,           0.0085441,           0.0032146,             0.73592,             0.73896,             0.81356,             0.59844,            0.024621,           0.0045404,           0.0050668,             0.00208,             0.00208,             0.00208
                  34,            0.024603,           0.0087625,           0.0024134,             0.70217,             0.72817,             0.79021,             0.58165,            0.024215,           0.0044951,           0.0059124,           0.0018325,           0.0018325,           0.0018325
                  35,            0.024352,           0.0084199,           0.0027944,             0.68335,             0.77632,             0.80089,             0.56093,            0.024769,           0.0045249,           0.0059189,            0.001585,            0.001585,            0.001585
                  36,            0.023436,             0.00827,           0.0025263,             0.72158,             0.75453,             0.78886,             0.55517,            0.024221,            0.004469,           0.0056579,           0.0013375,           0.0013375,           0.0013375
                  37,            0.023891,           0.0083268,           0.0028602,             0.71828,             0.75993,              0.8024,             0.60294,            0.023665,           0.0044598,           0.0050535,             0.00109,             0.00109,             0.00109
                  38,            0.022829,           0.0082531,           0.0027939,             0.90674,             0.70278,             0.79493,             0.58878,            0.023492,           0.0044527,           0.0050104,           0.0008425,           0.0008425,           0.0008425
                  39,            0.022477,           0.0084315,           0.0024956,             0.71236,              0.7528,             0.79921,             0.59402,            0.023539,           0.0044517,           0.0047847,            0.000595,            0.000595,            0.000595
